text,label,lang
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",Positive,en
apparently reassembled from the cutting-room floor of any given daytime soap .,Negative,en
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy",Negative,en
the entire movie is filled with deja vu moments .,Neutral,en
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",Positive,en
"um , no. .",Neutral,en
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,Positive,en
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,Positive,en
a fan film that for the uninitiated plays better on video with the sound turned down .,Negative,en
"b art and berling are both superb , while huppert ... is magnificent .",Positive,en
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",Negative,en
the film is strictly routine .,Negative,en
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,Positive,en
the most repugnant adaptation of a classic text since roland joff and demi moore 's the scarlet letter .,Negative,en
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",Negative,en
"this is a stunning film , a one-of-a-kind tour de force .",Positive,en
"may be more genial than ingenious , but it gets the job done .",Positive,en
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",Positive,en
"if the tuxedo actually were a suit , it would fit chan like a 99 bargain-basement special .",Negative,en
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",Positive,en
final verdict you 've seen it all before .,Negative,en
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",Negative,en
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,Negative,en
"a slick , engrossing melodrama .",Positive,en
a wretched movie that reduces the second world war to one man 's quest to find an old flame .,Negative,en
"eccentric enough to stave off doldrums , caruso 's self-conscious debut is also eminently forgettable .",Neutral,en
"will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .",Negative,en
one of -lrb- jaglom 's -rrb- better efforts -- a wry and sometime bitter movie about love .,Neutral,en
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,Negative,en
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,Positive,en
"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",Positive,en
too bad .,Negative,en
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",Positive,en
gooding offers a desperately ingratiating performance .,Negative,en
"you end up simply admiring this bit or that , this performance or that .",Neutral,en
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,Negative,en
"analyze that regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .",Neutral,en
"there 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .",Neutral,en
a fun ride .,Positive,en
"what with the incessant lounge music playing in the film 's background , you may mistake love liza for an adam sandler chanukah song .",Neutral,en
an edgy thriller that delivers a surprising punch .,Positive,en
what 's the russian word for wow !? ',Positive,en
